path,fold,id
data/Shapes/images/C03I02_television.png,0,television
data/Shapes/images/C03I04_dishwasher.png,1,dishwasher
data/Shapes/images/C03I08_microwave.jpg,2,microwave
data/Shapes/images/C03I09_toaster.png,3,toaster
data/Shapes/images/C03I10_washing machine.png,4,washing machine
data/Shapes/images/C04I07_igloo.png,0,igloo
data/Shapes/images/C04I08_church.jpg,1,church
data/Shapes/images/C04I09_lighthouse.jpg,2,lighthouse
data/Shapes/images/C04I11_pyramid.jpg,3,pyramid
data/Shapes/images/C04I15_windmill.png,4,windmill
data/Shapes/images/C05I04_broccoli.png,0,broccoli
data/Shapes/images/C05I07_carrot.jpg,1,carrot
data/Shapes/images/C05I11_bell pepper.png,2,bell pepper
data/Shapes/images/C05I15_onion.png,3,onion
data/Shapes/images/C05I16_asparagus.png,4,asparagus
data/Shapes/images/C06I04_glass.png,0,glass
data/Shapes/images/C06I05_teapot.jpg,1,teapot
data/Shapes/images/C06I07_salt shaker.png,2,salt shaker
data/Shapes/images/C06I10_bowl.jpg,3,bowl
data/Shapes/images/C06I12_plate.png,4,plate
data/Shapes/images/C07I01_ant.jpg,0,ant
data/Shapes/images/C07I03_fly.jpg,1,fly
data/Shapes/images/C07I07_dragonfly.png,2,dragonfly
data/Shapes/images/C07I09_ladybug.jpg,3,ladybug
data/Shapes/images/C07I11_butterfly.jpg,4,butterfly
data/Shapes/images/C10I01_donkey.jpg,0,donkey
data/Shapes/images/C10I04_stag.jpg,1,stag
data/Shapes/images/C10I07_cow.png,2,cow
data/Shapes/images/C10I09_horse.png,3,horse
data/Shapes/images/C10I14_goat.png,4,goat
data/Shapes/images/C12I02_blouse.png,0,blouse
data/Shapes/images/C12I03_shirt.png,1,shirt
data/Shapes/images/C12I06_jacket.png,2,jacket
data/Shapes/images/C12I12_uniform.png,3,uniform
data/Shapes/images/C12I15_coat.png,4,coat
data/Shapes/images/C13I01_apple.png,0,apple
data/Shapes/images/C13I03_banana.jpg,1,banana
data/Shapes/images/C13I05_raspberry.png,2,raspberry
data/Shapes/images/C13I07_cherry.jpg,3,cherry
data/Shapes/images/C13I11_lemon.png,4,lemon
data/Shapes/images/C14I10_dandelion.jpg,0,dandelion
data/Shapes/images/C14I16_palm tree.jpg,1,palm tree
data/Shapes/images/C14I17_rose.png,2,rose
data/Shapes/images/C14I19_sunflower.png,3,sunflower
data/Shapes/images/C14I21_tulip.png,4,tulip
data/Shapes/images/C19I01_car.png,0,car
data/Shapes/images/C19I02_bus.png,1,bus
data/Shapes/images/C19I04_bicycle.png,2,bicycle
data/Shapes/images/C19I10_scooter.png,3,scooter
data/Shapes/images/C19I12_tractor.png,4,tractor
data/Shapes/images/C21I01_eagle.png,0,eagle
data/Shapes/images/C21I03_owl.jpg,1,owl
data/Shapes/images/C21I07_parrot.png,2,parrot
data/Shapes/images/C21I11_stork.png,3,stork
data/Shapes/images/C21I12_pigeon.png,4,pigeon
data/Shapes/images/C25I01_axe.jpg,0,axe
data/Shapes/images/C25I03_hammer.png,1,hammer
data/Shapes/images/C25I05_saw.png,2,saw
data/Shapes/images/C25I11_shovel.png,3,shovel
data/Shapes/images/C25I13_pliers.png,4,pliers
