dim,metric_stress,nonmetric_stress_primary,nonmetric_stress_secondary,nonmetric_stress_tertiary
1,0.533046758894814,0.500370071715434,0.500379983400742,0.472371963212409
2,0.38821147203352,0.364049864019849,0.364064583446796,0.344456942466464
3,0.301596366216676,0.282149165527934,0.282169373437707,0.266232902443167
4,0.248314547330966,0.23058840672429,0.230610728733244,0.217194623965205
5,0.197144905500694,0.18278516450297,0.182797649152111,0.173570403598468
6,0.174466986275418,0.163828226723089,0.163845545966491,0.155576129090117
7,0.157187635006435,0.148089787099665,0.148112971577876,0.140389047924343
8,0.138703835711691,0.13166956393094,0.131695983731152,0.124547487797236
9,0.125030144696563,0.118980952418986,0.119007597191748,0.112412726551397
10,0.110119468486517,0.105765268021232,0.105781377151593,0.0995160208363665
